expression,reading,meaning,meaning_indonesia,tags,guid
医者,いしゃ,doctor; physician,dokter;,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,"f&|8.,xzY9"
椅子,いす,chair,kursi,JLPT JLPT_3 JLPT_5 JLPT_N5,Nxw^e{dZp(
忙しい,いそがしい,"busy (people, days)","sibuk (orang, hari)",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,pTORshR]m|
痛い,いたい,hurt; painful; sore,terluka;,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,O@@jk^&oQ8
一,いち,one,satu,JLPT JLPT_3 JLPT_5 JLPT_N5,C57gy_Lcmo
一日,いちにち,one day (duration),satu hari (durasi),Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,Q/Fb^F]yhk
一番,いちばん,"best (most), first, number one","terbaik (paling), pertama, nomor satu",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,y&ds7j((mb
いつ,いつ,when,Kapan,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,oGX1~x%YQo
五日,いつか,five days; fifth day of the month,lima hari;,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,iii]i;bYjg
一緒,いっしょ,together,bersama,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,D>uK5dFJy^
五つ,いつつ,five things,lima hal,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,Q!*H:Q_rHO
いつも,いつも,"always, usually, every time, never (with neg. verb)","selalu, biasanya, setiap saat, tidak pernah (dengan kata kerja neg.)",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,BM|Xrf53.p
犬,いぬ,dog,anjing,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"ktH(<>,fX+"
今,いま,now,Sekarang,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,N{Ld-iFO]H
意味,いみ,"meaning, significance","makna, signifikansi",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,xQ(-U#d9Tp
妹,いもうと,younger sister (humble),adik perempuan (rendah hati),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,BL_XI^txw+
嫌,いや,"disagreeable, detestable, unpleasant","tidak menyenangkan, menjijikkan, tidak menyenangkan",JLPT JLPT_3 JLPT_5 JLPT_N5,pj6@51cCNZ
入口,いりぐち,entrance,pintu masuk,JLPT JLPT_5 JLPT_N5,"E5~,8$6,oj"
居る,いる,"(humble) to be (animate), to exist","(rendah hati) menjadi (bernyawa), ada",JLPT JLPT_5 JLPT_N5,wfzvV]4NOO
要る,いる,to need,membutuhkan,JLPT JLPT_5 JLPT_N5,j|TF$iBC;9
入れる,いれる,to put in,untuk dimasukkan,JLPT JLPT_5 JLPT_N5,swmy/(v]Eb
色,いろ,color,warna,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"Epa;v6=%P,"
色々,いろいろ,various,bermacam-macam,JLPT JLPT_5 JLPT_N5,jV7cB[WgxE
上,うえ,"above (up, top, etc.), over, on top of","di atas (atas, atas, dll.), atas, di atas",JLPT JLPT_2 JLPT_5 JLPT_N5,"j3j@,T!uH>"
後ろ,うしろ,"back, behind, rear","belakang, belakang, belakang",JLPT JLPT_3 JLPT_5 JLPT_N5,s:DnwS1iNM
薄い,うすい,"thin, weak","kurus, lemah",JLPT JLPT_3 JLPT_5 JLPT_N5,pRrb<$bzH|
歌,うた,a song,sebuah lagu,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,JJN9**Hn8A
歌う,うたう,to sing,untuk bernyanyi,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,AN4yH;7MHR
うち,うち,home; house; my place,rumah;,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,u5l2?%hKEd
生まれる,うまれる,to be born,untuk dilahirkan,JLPT JLPT_3 JLPT_5 JLPT_N5,i{d6CiQ#iK
海,うみ,"sea, beach","laut, pantai",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Cla&e~|Y6P
売る,うる,to sell (v.t.),untuk menjual (v.t.),Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,nqk=gYOr|$
うるさい,うるさい,noisy; annoying,bising;,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,fsH/V)BWD4
上着,うわぎ,"coat, jacket","mantel, jaket",JLPT JLPT_5 JLPT_N5,nv?u]<OhhN
絵,え,a painting; a picture; a drawing,sebuah lukisan;,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,E6H3mWmPF1
映画,えいが,"movie, film","film, film",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,Q842_8x`<%
映画館,えいがかん,"movie theater, cinema","bioskop, bioskop",Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,tKa%gU>tYk
英語,えいご,English (language),Inggris (bahasa),Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,l~kTfp|Na~
ええ,ええ,yes,Ya,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,K4f;DsCIdC
駅,えき,station,stasiun,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,EP[wTa2Y![
エレベーター,エレベーター,elevator,lift,JLPT JLPT_2 JLPT_5 JLPT_N5,GomZ-xrho6
～円,～えん,Yen,Yen,JLPT JLPT_5 JLPT_N5,"rY,[_6)@&p"
鉛筆,えんぴつ,pencil,pensil,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,ArKUTnLoi2
お～,お～,honorable ~ (honorific),terhormat ~ (kehormatan),JLPT JLPT_5 JLPT_N5,Q1z/@I6[X=
美味しい,おいしい,"delicious, tasty","enak, enak",JLPT JLPT_5 JLPT_N5,f%Oz)hC{aH
多い,おおい,many; there are a lot,banyak;,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,CS_ZJ+i5[)
大きい,おおきい,"big, large","besar, besar",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,N*s[nF-<Om
大きな,おおきな,big,besar,JLPT JLPT_5 JLPT_N5,"C@,$F5(H&S"
大勢,おおぜい,great number of people,sejumlah besar orang,JLPT JLPT_5 JLPT_N5,d_f[=H{F{<
お母さん,おかあさん,mother (formal),ibu (resmi),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,JmU7?0Aw7)
お菓子,おかし,"confections, sweets, snack","permen, permen, makanan ringan",Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iY2$$8!fW<
お金,おかね,money,uang,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,uh%`nh}D?M
起きる,おきる,"to get up (e.g., from sleeping); to happen","untuk bangun (misalnya, dari tidur);",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,i~#f<a525w
置く,おく,to put; to lay; to place,untuk menempatkan;,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5,"KTJ,/<Sfw7"
奥さん,おくさん,(someone else's) wife (hon.),istri (orang lain) (yang terhormat),Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,raj<Z6u7R]
お酒,おさけ,sake; alcohol,demi;,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,BPnYG]G`g3
お皿,おさら,"plate, dish","piring, piring",JLPT JLPT_5 JLPT_N5,"lNBs!SV,D!"
伯父; 叔父さん,おじさん,"uncle, middle-aged man","paman, pria paruh baya",JLPT JLPT_5 JLPT_N5,s$4&3o9W|{
おじいさん,おじいさん,"grandfather, male senior citizen","kakek, warga negara senior laki-laki",Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,OnBGSorIYO
教える,おしえる,"to teach, to inform, to instruct","untuk mengajar, untuk menginformasikan, untuk menginstruksikan",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,&(rx8HabP
押す,おす,"to push, to press, to stamp (e.g., a passport)","untuk mendorong, menekan, mencap (misalnya, paspor)",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,O7S.k1^4+9
遅い,おそい,slow; (to be) late,lambat;,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,e`TVG4aTiS
お茶,おちゃ,(green) tea,(teh hijau,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,"o|6tDcd,cL"
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)","toilet, kamar kecil, kamar mandi (lit., tempat mencuci tangan)",Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5,jX+//z~!X8
お父さん,おとうさん,father (formal),ayah (resmi),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Kh?V(6)C|2
弟,おとうと,younger brother,adik,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"ht,o]F,GkV"
男,おとこ,"man, male","laki-laki, laki-laki",Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,QC9-<k]D|G
男の子,おとこのこ,boy,anak laki-laki,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,mDCUq=3c&Y
一昨日,おととい,the day before yesterday,sehari sebelum kemarin,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,n^WNNS^t5D
おととし,おととし,year before last,tahun lalu,JLPT JLPT_5 JLPT_N5,"i$lVvl^Y,~"
大人,おとな,adult,dewasa,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,F~j9Wag0^x
お腹,おなか,stomach,perut,JLPT JLPT_3 JLPT_5 JLPT_N5,GVf+XC=Lx4
同じ,おなじ,"same, identical","sama, identik",Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,FT1U+`d~$u
お兄さん,おにいさん,(someone else's) older brother (formal),kakak laki-laki (orang lain) (formal),Genki Genki_Ln.1 Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,c-e]c9shpL
お姉さん,おねえさん,older sister (formal),kakak perempuan (formal),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"Q,2s6~F,9F"
伯母さん; 叔母さん,おばさん,aunt,tante,JLPT JLPT_5 JLPT_N5,fk]_fvvw.h
おばあさん,おばあさん,"grandmother, female senior-citizen","nenek, warga negara senior perempuan",Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,K7L64Zdx7D
お風呂,おふろ,a bath,mandi,JLPT_N5,btJ^oH!>Ob
お弁当,おべんとう,a boxed lunch,kotak makan siang,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,ou=Mxez95b
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize","untuk belajar, untuk berkomitmen pada ingatan, untuk mengingat, untuk menghafal",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,k*NiP6Je8n
おまわりさん,おまわりさん,policeman (friendly term),polisi (istilah ramah),JLPT JLPT_5 JLPT_N5,kI/erxg?st
重い,おもい,heavy; serious,berat;,Genki Genki_Ln.20 JLPT JLPT_3 JLPT_5 JLPT_N5,n(}tZ@Uv29
面白い,おもしろい,"interesting, amusing","menarik, lucu",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"J&$%9x,#?>"
泳ぐ,およぐ,to swim,untuk berenang,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,bxmTHH/R3s
降りる,おりる,to get off,untuk turun,JLPT JLPT_3 JLPT_5 JLPT_N5,hM4FhZWg_/
終る,おわる,"to finish, to close","untuk menyelesaikan, untuk menutup",JLPT JLPT_5 JLPT_N5,D_J6!H@vf*
音楽,おんがく,Music,Musik,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,fcOO[?V993
女,おんな,"woman, female","wanita, perempuan",Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,d3!7^Z7+&i
女の子,おんなのこ,girl,gadis,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,n^ma[3kYmi
～回,～かい,counter for occurrences (~ times),penghitung kejadian (~ kali),JLPT JLPT_1 JLPT_5 JLPT_N5,dwW`SX||PF
～階,～かい,counter for stories (floors) of a building,counter untuk lantai (lantai) suatu bangunan,JLPT JLPT_4 JLPT_5 JLPT_N5,x]4mRhDP?0
外国,がいこく,foreign country; abroad,negara asing;,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,K:<1s^}$O$
外国人,がいこくじん,foreigner,orang asing,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,mxObbkK7.-
会社,かいしゃ,"company, corporation","perusahaan, korporasi",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,owc{ezB4?4
階段,かいだん,stairs,tangga,JLPT JLPT_5 JLPT_N5,"ui<=#{,<U^"
買い物,かいもの,shopping,belanja,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,uV:`-T%Eq~
買う,かう,to buy,untuk membeli,JLPT JLPT_3 JLPT_5 JLPT_N5,Q.3jlQZyvW
返す,かえす,to return something,untuk mengembalikan sesuatu,JLPT JLPT_3 JLPT_5 JLPT_N5,b+[+YOY+dv
帰る,かえる,"to go back, to go home, to return","untuk kembali, untuk pulang, untuk kembali",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,HBCAN.he?j
顔,かお,face (body part),wajah (bagian tubuh),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,MGLL{4`mK@
かかる,かかる,"it takes (amount of time, money) (v.i.)","dibutuhkan (jumlah waktu, uang) (v.i.)",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,yajlZ<1W@=
鍵,かぎ,a lock; a key,sebuah kunci;,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5,CBifo1C?=d
書く,かく,to write,untuk menulis,JLPT JLPT_3 JLPT_5 JLPT_N5,ytOa}oy+zO
学生,がくせい,student,murid,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,"JC,(K4dD=="
～か月,～かげつ,(number of) months,(jumlah) bulan,JLPT JLPT_5 JLPT_N5,p^^qFJHF)[
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",untuk memakai (misalnya kacamata);,JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,J@I.fZoEvE
かける,かける,"to dial/call (e.g., phone); to sit down","untuk menelepon/memanggil (misalnya, telepon);",Genki Genki_Ln.19 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,j[@hZ&;%2u
傘,かさ,"umbrella, parasol","payung, payung",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,p_LV=Cf?pc
貸す,かす,to lend,untuk meminjamkan,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,yag&XA]F86
風,かぜ,"wind, breeze",hembusan angin,Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5,wPz(SGuAqF
風邪,かぜ,"cold, flu","dingin, flu",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,"G#zadB[Bd,"
方,かた,-- honorific form for 人 (ひと) --; way of doing,-- bentuk kehormatan untuk 人 (ひと) --;,Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,GtdTiap.Os
家族,かぞく,"family, members of a family","keluarga, anggota keluarga",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,jwBW:Yf?[N
片仮名,かたかな,katakana,katakana,JLPT JLPT_5 JLPT_N5,y%B]18.T{|
～月,～がつ,month of year,bulan dalam setahun,JLPT JLPT_5 JLPT_N5,x[qBqm:mer
学校,がっこう,a school,sebuah sekolah,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,jMUlk]n4bL
カップ,カップ,cup,cangkir,JLPT JLPT_1 JLPT_5 JLPT_N5,N>J.3DDIIf
家庭,かてい,home; family,rumah;,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,K=/LkA^bE5
角,かど,"corner (e.g., desk, pavement)","sudut (misalnya, meja, trotoar)",Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,NblB:vgsi`
かばん,かばん,"bag, basket","tas, keranjang",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,M4T~@ehWYB
花瓶,かびん,(flower) vase,(bunga) vas,JLPT JLPT_5 JLPT_N5,m<:4xC~U|%
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)","untuk memakai, mengenakan (misalnya, topi di kepala)",Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,"v~,/++9.ks"
紙,かみ,paper,kertas,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5,BZj5w]P?W@
カメラ,カメラ,camera,kamera,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,m@gkXGnk1!
火曜日,かようび,Tuesday,Selasa,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,rx9;D%FE+1
辛い,からい,hot and spicy; salty,panas dan pedas;,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,EjaGe<]5<&
体,からだ,body; health,tubuh;,Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,x=d[R_7msH
借りる,かりる,"to borrow, to owe","meminjam, berhutang",JLPT JLPT_5 JLPT_N5,EV_.CiOUqY
～がる,～がる,feel,merasa,JLPT JLPT_5 JLPT_N5,e--3P:#0au
軽い,かるい,"light, non-serious, minor","ringan, tidak serius, kecil",JLPT JLPT_5 JLPT_N5,"Q?,F=N/]i*"
カレー,カレー,curry (abbr. for curry and rice),kari (singkatan dari kari dan nasi),Genki Genki_Ln.13 JLPT JLPT_1 JLPT_5 JLPT_N5,l)iLA}_6t!
カレンダー,カレンダー,calendar,kalender,JLPT JLPT_5 JLPT_N5,"H,vNs@Ml~$"
川; 河,かわ,river,sungai,JLPT JLPT_3 JLPT_5 JLPT_N5,QzV_(D2VAO
～側,～がわ,~ side,~ samping,JLPT_N5,ks2wGx4U0-
可愛い,かわいい,"cute, adorable","lucu, menggemaskan",JLPT JLPT_5 JLPT_N5,"cM$xbG,Do&"
漢字,かんじ,kanji; Chinese character,kanji;,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,"yx;[,(ZC<M"
木,き,"tree, wood, timber","pohon, kayu, kayu",Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5,"Pt,~h2%O9J"
黄色,きいろ,yellow,kuning,JLPT JLPT_5 JLPT_N5,c$:@4*e3c*
黄色い,きいろい,yellow,kuning,JLPT JLPT_5 JLPT_N5,yw~rIwG)7I
消える,きえる,"to vanish, to disappear","menghilang, menghilang",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,Hl(tY84I}b
聞く,きく,"to hear, to listen, to ask","mendengar, mendengarkan, bertanya",JLPT JLPT_3 JLPT_5 JLPT_N5,CbCe+?lSS(
北,きた,north,utara,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,c_4*(T~qY|
