expression,reading,meaning,meaning_indonesia,tags,guid
需要,じゅよう,demand,tuntutan,JLPT JLPT_2 JLPT_3,wIb;!:/d[S
種類,しゅるい,"variety, kind","variasi, baik hati",JLPT JLPT_2 JLPT_3,yLzP_}wHk~
順,じゅん,"order, turn","pesan, putar",JLPT JLPT_2 JLPT_3,j(7}!qj-R?
瞬間,しゅんかん,"moment, second","saat, kedua",JLPT JLPT_2 JLPT_3,w74BNqe`C[
順調,じゅんちょう,doing well,baik-baik saja,JLPT JLPT_2 JLPT_3,QTXqs`sU2C
順番,じゅんばん,"turn (in line), order of things","giliran (dalam antrean), urutan hal",JLPT JLPT_2 JLPT_3,"B3?=*++0m,"
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization","penggunaan (sama dengan 使うこと (つかうこと)), penerapan, pekerjaan, pemanfaatan",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v"
小,しょう,small,kecil,JLPT JLPT_2 JLPT_3,He3e1#-/kV
章,しょう,"chapter, section; medal","bab, bagian;",JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1
賞,しょう,"prize, award","hadiah, penghargaan",JLPT JLPT_2 JLPT_3,ixda5oQQ=r
上,じょう,first volume; superior quality; governmental,jilid pertama;,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5
障害,しょうがい,"obstacle, impediment","hambatan, halangan",JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv
奨学金,しょうがくきん,scholarship,beasiswa,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:
乗客,じょうきゃく,passenger,penumpang,JLPT JLPT_2 JLPT_3,F?2lxj<[^L
上京,じょうきょう,proceeding to the capital (Tokyo),melanjutkan ke ibukota (Tokyo),JLPT JLPT_2 JLPT_3,EmcG8c7y3D
状況,じょうきょう,"state of affairs, situation","keadaan, situasi",JLPT JLPT_2 JLPT_3,eJ+`w-qU@C
条件,じょうけん,"conditions, terms","syarat, syarat",JLPT JLPT_2 JLPT_3,PesF@2hHde
正午,しょうご,"noon, mid-day","siang, tengah hari",JLPT JLPT_2 JLPT_3,i0$lSUJ-1J
正直,しょうじき,"honesty, integrity, frankness","kejujuran, integritas, kejujuran",JLPT JLPT_2 JLPT_3,l~d^29Cn=%
常識,じょうしき,common sense,kewajaran,JLPT JLPT_2 JLPT_3,b?[*`UKS8R
少女,しょうじょ,young girl,gadis muda,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),sedikit;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz
症状,しょうじょう,"symptoms, condition","gejala, kondisi",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE
生じる,しょうじる,"to occur, to arise, to be generated","terjadi, muncul, dihasilkan",JLPT JLPT_2 JLPT_3,"F/qG4,c8v/"
状態,じょうたい,"condition, situation","kondisi, situasi",JLPT JLPT_2 JLPT_3,u!E?FPG-@p
上達,じょうたつ,"improvement, advance","perbaikan, kemajuan",JLPT JLPT_2 JLPT_3,Cc{1AI[wlm
冗談,じょうだん,a joke,sebuah lelucon,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{
上等,じょうとう,"first class, very good","kelas satu, sangat bagus",JLPT JLPT_2 JLPT_3,tjn_MUpJQp
衝突,しょうとつ,"collision, conflict","tabrakan, konflik",JLPT JLPT_2 JLPT_3,D@=pGn%86P
商人,しょうにん,"trader, shopkeeper, merchant","pedagang, penjaga toko, saudagar",JLPT JLPT_2 JLPT_3,MlJB*>A^h!
承認,しょうにん,"recognition, approval","pengakuan, persetujuan",JLPT JLPT_2 JLPT_3,"N==,~orf~["
少年,しょうねん,"boys, juveniles","anak laki-laki, remaja",JLPT JLPT_2 JLPT_3,p6fQoD5WK;
商売,しょうばい,"trade, business, commerce","perdagangan, bisnis, perdagangan",JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|"
消費,しょうひ,"consumption, expenditure","konsumsi, pengeluaran",JLPT JLPT_2 JLPT_3,r7nT91%)]@
商品,しょうひん,"commodity, merchandise","komoditas, barang dagangan",JLPT JLPT_2 JLPT_3,w+UOx&@[sL
賞品,しょうひん,"prize, trophy","hadiah, piala",JLPT JLPT_2 JLPT_3,M}I~*8Gv<&
消防,しょうぼう,"fire fighting, fire department","pemadaman kebakaran, pemadam kebakaran",JLPT JLPT_2 JLPT_3,u20O%VZ|ID
情報,じょうほう,"information, (military) intelligence","informasi, intelijen (militer).",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-
証明,しょうめい,"proof, verification","bukti, verifikasi",JLPT JLPT_2 JLPT_3,l8;-B$4N!G
省略,しょうりゃく,"omission, abbreviation, abridgment","penghilangan, singkatan, ringkasan",JLPT JLPT_2 JLPT_3,jp1y&-#kyn
女王,じょおう,queen,ratu,JLPT JLPT_2 JLPT_3,furG^[#|I<
職,しょく,employment,pekerjaan,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j"
職業,しょくぎょう,"occupation, business","pekerjaan, bisnis",JLPT JLPT_2 JLPT_3,tU=ntM)WP{
食卓,しょくたく,dining table,meja makan,JLPT JLPT_2 JLPT_3,o})uu+vtqN
食品,しょくひん,foodstuff,bahan makanan,JLPT JLPT_2 JLPT_3,iU(>r<G;@0
植物,しょくぶつ,"plant, vegetation","tanaman, tumbuh-tumbuhan",JLPT JLPT_2 JLPT_3,mpdopLG{vR
食物,しょくもつ,"food, foodstuff","makanan, bahan makanan",JLPT JLPT_2 JLPT_3,KrMVp?T5YJ
食欲,しょくよく,appetite (for food),nafsu makan (untuk makanan),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^
食料,しょくりょう,food,makanan,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~"
食糧,しょくりょう,"provisions, rations","ketentuan, ransum",JLPT JLPT_2 JLPT_3,"e~`&J:],P}"
書斎,しょさい,"study, den","belajar, ruang kerja",JLPT JLPT_2 JLPT_3,z(Zi=4k7-t
女子,じょし,"woman, girl","wanita, gadis",JLPT JLPT_2 JLPT_3,y}`qNApt9R
助手,じょしゅ,"helper, assistant","pembantu, asisten",JLPT JLPT_2 JLPT_3,F9rI>UKU}`
徐々に,じょじょに,"slowly, little by little","perlahan, sedikit demi sedikit",JLPT JLPT_2 JLPT_3,Ik@-$!%)*d
署名,しょめい,signature,tanda tangan,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,"
書物,しょもつ,books,buku,JLPT JLPT_2 JLPT_3,dsq%HW0O`l
女優,じょゆう,actress,aktris,JLPT JLPT_2 JLPT_3,g6/0nLbYEk
処理,しょり,"processing, treatment, disposition","pengolahan, pengobatan, disposisi",JLPT JLPT_2 JLPT_3,"n-}WPF,.CB"
書類,しょるい,"documents, official papers","dokumen, surat resmi",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#
知らせ,しらせ,notice,melihat,JLPT JLPT_2 JLPT_3,tE;LJdiq{b
尻,しり,"buttocks, bottom","bokong, bawah",JLPT JLPT_2 JLPT_3,Cp-T01W>>7
知合い,しりあい,acquaintance,kenalan,JLPT JLPT_2 JLPT_3,Jz(h+XVbH4
印,しるし,mark; symbol; evidence,tanda;,JLPT JLPT_2 JLPT_3,F?8:NFp=(i
城,しろ,castle,kastil,JLPT JLPT_2 JLPT_3,GnhkX+7b^.
進学,しんがく,going on to university,melanjutkan ke universitas,JLPT JLPT_2 JLPT_3,p#!GLXFzk~
神経,しんけい,"nerve, sensitivity","saraf, sensitivitas",JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0"
真剣,しんけん,"seriousness, earnestness","keseriusan, kesungguhan",JLPT JLPT_2 JLPT_3,PuRLKa9@q(
信仰,しんこう,"(religious) faith, belief","(agama) iman, keyakinan",JLPT JLPT_2 JLPT_3,g~oH1SUq[>
信号,しんごう,"traffic lights, signal, semaphore","lampu lalu lintas, sinyal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f
人工,じんこう,"artificial, man made, human work,","buatan, buatan manusia, hasil karya manusia,",JLPT JLPT_2 JLPT_3,zQ3t>E=&2U
深刻,しんこく,serious,serius,JLPT JLPT_2 JLPT_3,Kel_M-JGRX
診察,しんさつ,medical examination (of a patient),pemeriksaan kesehatan (pada pasien),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2}
人種,じんしゅ,race (of people),ras (orang),JLPT JLPT_2 JLPT_3,Mm&n`P$vPl
信じる,しんじる,to believe,untuk percaya,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`
人生,じんせい,"(human) life (e.g., conception to death)","kehidupan (manusia) (misalnya, pembuahan hingga kematian)",JLPT JLPT_2 JLPT_3,G{?]K0G%It
親戚,しんせき,relative(s),kerabat),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85
新鮮,しんせん,fresh,segar,JLPT JLPT_2 JLPT_3,hgsIFo;k1C
心臓,しんぞう,heart,jantung,JLPT JLPT_2 JLPT_3,FBeXkqV5hu
身体,しんたい,the body,tubuh,JLPT JLPT_2 JLPT_3,t3y~q`<OO!
身長,しんちょう,"height (of body), stature","tinggi (tubuh), perawakan",JLPT JLPT_2 JLPT_3,v2>$s!00R?
慎重,しんちょう,"careful, prudent, cautious","hati-hati, bijaksana, hati-hati",JLPT JLPT_2 JLPT_3,H{qX;#1p@y
審判,しんぱん,"umpire, referee, judgment","wasit, wasit, penghakiman",JLPT JLPT_2 JLPT_3,"i+^OoCXV,-"
人物,じんぶつ,"character, personality, talented man","karakter, kepribadian, pria berbakat",JLPT JLPT_2 JLPT_3,OXSwNDOM:u
進歩,しんぽ,"improvement, progress, development","perbaikan, kemajuan, pengembangan",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7
親友,しんゆう,"close friend, buddy","teman dekat, sobat",JLPT JLPT_2 JLPT_3,e!XKqiS_]u
信用,しんよう,"confidence, dependence","kepercayaan diri, ketergantungan",JLPT JLPT_2 JLPT_3,D_Xu621X(*
信頼,しんらい,"reliance, trust, confidence","ketergantungan, kepercayaan, keyakinan",JLPT JLPT_2 JLPT_3,Cc(neZE[/;
心理,しんり,mentality,mentalitas,JLPT JLPT_2 JLPT_3,M4-pHm{8Hp
人類,じんるい,"mankind, humanity","umat manusia, kemanusiaan",JLPT JLPT_2 JLPT_3,yGfC3NH0c~
巣,す,"nest, breeding place","sarang, tempat berkembang biak",JLPT JLPT_2 JLPT_3,wae)m$%B2U
酢,す,vinegar,cuka,JLPT JLPT_2 JLPT_3,S|>MWw8{x
図,ず,"figure, drawing, illustration","gambar, gambar, ilustrasi",JLPT JLPT_2 JLPT_3,o=i@Vi;`4G
水準,すいじゅん,"level, standard","tingkat, standar",JLPT JLPT_2 JLPT_3,LrR5Wf1Z7N
推薦,すいせん,recommendation,rekomendasi,JLPT JLPT_2 JLPT_3,jvDU?eC@&E
スイッチ,スイッチ,switch,mengalihkan,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,D+{$1{/[wR
睡眠,すいみん,sleep,tidur,JLPT JLPT_2 JLPT_3,wh0!*D%WvE
数,すう,"number, figure","nomor, gambar",JLPT JLPT_2 JLPT_3,J]}my?o<Q!
数字,すうじ,"numeral, figure","angka, gambar",JLPT JLPT_2 JLPT_3,B[Gra1kO)v
スープ,スープ,(Western) soup,sup (Barat).,JLPT JLPT_2 JLPT_3,"s,J:5SYdW2"
末,すえ,"the end of, powder","akhir, bedak",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,EyKo./;AAl
姿,すがた,"figure, shape, appearance","sosok, bentuk, penampilan",JLPT JLPT_2 JLPT_3,gTn!6ZHkYs
スキー,スキー,ski,main ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,EDq$^7+uK~
救う,すくう,"to rescue from, to help out of","untuk menyelamatkan, untuk membantu",JLPT JLPT_2 JLPT_3,Pzdj_}ruVB
すくなくとも,すくなくとも,at least,setidaknya,JLPT JLPT_2 JLPT_3,s64aNUZ0&F
優れる,すぐれる,"to surpass, to outstrip, to excel","untuk melampaui, melampaui, untuk unggul",JLPT JLPT_2 JLPT_3,"fFuIf,@I[N"
スケート,スケート,"skate(s), skating","skate, skating",JLPT JLPT_2 JLPT_3,DQ0-nYW7>.
スケジュール,スケジュール,schedule,jadwal,JLPT JLPT_2 JLPT_3,m}P~NJ788C
少しも,すこしも,"anything of, not one bit","apa pun, tidak sedikit pun",JLPT JLPT_2 JLPT_3,pSmTW}7_?}
過ごす,すごす,"to pass, to spend (time)","untuk lulus, untuk menghabiskan (waktu)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,oE9$X-z%xN
筋,すじ,"muscle, string, line","otot, tali, garis",JLPT JLPT_2 JLPT_3,M#_TzTBk6]
