expression,reading,meaning,meaning_indonesia,tags,guid
財,ざい,"fortune, riches","keberuntungan, kekayaan",JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,"meeting again, reunion","bertemu lagi, reuni",JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,"calamity, disaster, misfortune","malapetaka, bencana, kemalangan",JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,"bacillus, bacterium, germ","basil, bakteri, kuman",JLPT_1 JLPT,I!s+/_djx3
細工,さいく,"work, craftsmanship, trick","kerja, keahlian, trik",JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,mining,pertambangan,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,cycle,siklus,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,"vote, roll call","memilih, absensi",JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,(temple or shrine) rebuilding,(kuil atau kuil) pembangunan kembali,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,"reproduction, return, revival","reproduksi, pengembalian, kebangkitan",JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,"source of funds, resources, finances","sumber dana, sumber daya, keuangan",JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,"stockpile, stock","timbunan, stok",JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,profit,laba,JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,size,ukuran,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,"playback, regeneration, resuscitation","pemutaran, regenerasi, resusitasi",JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,"economy, financial affairs","ekonomi, urusan keuangan",JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,the very best,yang terbaik,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,"adoption, selection, choice","adopsi, seleksi, pilihan",JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,cultivation,penanaman,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,"return, relapse, reoccurrence","kembali, kambuh, terulang kembali",JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,cell,sel,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,"use, adopt","gunakan, adopsi",JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,"to interrupt, to intercept, to obstruct","untuk menyela, untuk mencegat, untuk menghalangi",JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,"to sing, to chirp, to twitter","menyanyi, berkicau, berkicau",JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,"to be clear, to be bright, to be skillful","menjadi jelas, menjadi cemerlang, menjadi terampil",JLPT_1 JLPT,F_K.fXalP!
竿,さお,"rod, pole (e.g., for drying laundry)","batang, tiang (misalnya, untuk mengeringkan cucian)",JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,"to flourish, to prosper, to thrive","untuk berkembang, untuk makmur, untuk berkembang",JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,"balance, difference, margin","keseimbangan, selisih, margin",JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,wine cup,cangkir anggur,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,"handstand, headstand","berdiri tangan, berdiri di kepala",JLPT_1 JLPT,ec~&YKW}51
さきに (いぜん),さきに (いぜん),"before, earlier than, previously","sebelumnya, lebih awal dari, sebelumnya",JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,"fraud, swindle","penipuan, penipuan",JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,"cut, reduction","potong, reduksi",JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,mistake,kesalahan,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,"military operations, tactics, strategy","operasi militer, taktik, strategi",JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,"shout, scream, outcry","berteriak, menjerit, menjerit",JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,"to lift up, to give, to offer","untuk mengangkat, memberi, menawarkan",JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,"to come near to, to approach","untuk mendekati, untuk mendekati",JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,"instruction, mandate","instruksi, amanat",JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,"to present, to submit, to hold out","untuk menyajikan, untuk menyerahkan, untuk bertahan",JLPT_1 JLPT,A&xf;%;bo<
差し支える,さしつかえる,"to interfere, to hinder","untuk mengganggu, untuk menghalangi",JLPT_1 JLPT,ve>x:VMBVJ
授ける,さずける,"to grant, to award, to teach","untuk memberi, memberi penghargaan, mengajar",JLPT_1 JLPT,h.+pAO9bEu
摩する,さする,"to rub, to stroke","untuk menggosok, untuk membelai",JLPT_1 JLPT,yQu&Wz5|+#
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt","Saya yakin, tentu saja, tidak diragukan lagi",JLPT_1 JLPT,FE`C@V&t[f
定まる,さだまる,"to become settled, to be fixed","menjadi tetap; mapan; terpasang",JLPT_1 JLPT,"Ly=j.,,]V@"
定める,さだめる,"to decide, to determine","untuk memutuskan, untuk menentukan",JLPT_1 JLPT,MNqx6`F)B2
座談会,ざだんかい,"symposium, round-table discussion","simposium, diskusi meja bundar",JLPT_1 JLPT,d!+{3%PNo}
雑,ざつ,"rough, crude","kasar, kasar",JLPT_1 JLPT,PqMu^a?1a^
雑貨,ざっか,"miscellaneous goods, general goods","barang lain-lain, barang umum",JLPT_1 JLPT,r5VCxxHAy|
殺人,さつじん,murder,pembunuhan,JLPT_1 JLPT,tM%DouVsND
察する,さっする,"to guess, to sense, to judge","menebak, merasakan, menilai",JLPT_1 JLPT,LGG(>{BjoV
雑談,ざつだん,"chatting, idle talk","ngobrol, omong kosong",JLPT_1 JLPT,DK#>y3UE4B
さっと,さっと,"suddenly, smoothly","tiba-tiba, dengan lancar",JLPT_1 JLPT,EKYb(VaO4Q
さっぱりする,さっぱりする,to refresh,untuk menyegarkan,JLPT_1 JLPT,H|ANTa=Wl{
悟る,さとる,"to attain enlightenment, to understand","untuk mencapai pencerahan, untuk memahami",JLPT_1 JLPT,v:Q4euCfA7
最中,さなか,"in the middle of, midst","di tengah-tengah, di tengah-tengah",JLPT_1 JLPT,A!j+&nF3Wn
座標,ざひょう,coordinates,koordinat,JLPT_1 JLPT,B0L0!.A0?}
さほど,さほど,"not so, not that much","tidak begitu, tidak sebanyak itu",JLPT_1 JLPT,Eqh)/a:JaN
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,untuk membolos (melewatkan) kelas;,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF
様,さま,state; way (a person does something); Mr. or Mrs.,negara;,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez
寒気,さむけ,"chill, shiver, cold","dingin, menggigil, dingin",JLPT_1 JLPT,N#;$qw^KPE
侍,さむらい,samurai,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4
さも,さも,"with gusto, with satisfaction","dengan penuh semangat, dengan kepuasan",JLPT_1 JLPT,Gm-[^5Ln&h
作用,さよう,"operation, effect, function","operasi, efek, fungsi",JLPT_1 JLPT,"Oof8u=,|uS"
さらう (こどもを～),さらう (こどもを～),to kidnap,untuk menculik,JLPT_1 JLPT,B@RtBWjh/W
障る,さわる,"to hinder, to interfere with, to affect","untuk menghalangi, untuk mengganggu, untuk mempengaruhi",JLPT_1 JLPT,Di(J(kaH;V
酸,さん,acid,asam,JLPT_1 JLPT,k/LaLYL|r#
山岳,さんがく,mountains,pegunungan,JLPT_1 JLPT,nJs0S#DzgO
参議院,さんぎいん,House of Councilors,Dewan Penasihat,JLPT_1 JLPT,O7n.x?;S]&
産休,さんきゅう,maternity leave,cuti hamil,JLPT_1 JLPT,k`Pzt}i$UW
サンキュー,サンキュー,thank you,Terima kasih,JLPT_1 JLPT,rQ2myGNLp<
残金,ざんきん,remaining money,sisa uang,JLPT_1 JLPT,E</lr>b527
産後,さんご,"postpartum, after childbirth","pascapersalinan, setelah melahirkan",JLPT_1 JLPT,"Pge/h!,u.x"
残酷,ざんこく,"cruelty, harshness","kekejaman, kekerasan",JLPT_1 JLPT,snLE.]5(UV
産出,さんしゅつ,"yield, produce","menghasilkan, menghasilkan",JLPT_1 JLPT,AItAE0vKn;
参照,さんしょう,"reference, consultation, consultation","referensi, konsultasi, konsultasi",JLPT_1 JLPT,Q=29PP)W-_
参上,さんじょう,"calling on, visiting","menelepon, mengunjungi",JLPT_1 JLPT,w#SP~u0yM;
残高,ざんだか,"(bank) balance, remainder","saldo (bank), sisa",JLPT_1 JLPT,K4gXaj[Vyi
サンタクロース,サンタクロース,Santa Claus,Sinterklas,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un
桟橋,さんばし,"wharf, jetty, pier","dermaga, dermaga, dermaga",JLPT_1 JLPT,qY2!_v~;bZ
賛美,さんび,"praise, adoration, glorification","pujian, pemujaan, pemuliaan",JLPT_1 JLPT,e.-RuHb{48
山腹,さんぷく,"hillside, mountainside","lereng bukit, lereng gunung",JLPT_1 JLPT,o2ZZ0`v<eS
産婦人科,さんふじんか,maternity and gynecology department,departemen bersalin dan ginekologi,JLPT_1 JLPT,C-(.5yIOQP
産物,さんぶつ,"product, result, fruit","produk, hasil, buah",JLPT_1 JLPT,E~s#%JNaV$
山脈,さんみゃく,mountain range,pegunungan,JLPT_1 JLPT,x1O?:5^y|C
仕上がり,しあがり,"finish, end, completion","selesai, selesai, selesai",JLPT_1 JLPT,yea;?+baU4
仕上,しあげ,"end, finishing touches","akhir, sentuhan akhir",JLPT_1 JLPT,oEx[)E@iYE
仕上げる,しあげる,"to finish up, to complete","untuk menyelesaikan, untuk menyelesaikan",JLPT_1 JLPT,hK4h`Zw:aS
飼育,しいく,"breeding, raising, rearing","berkembang biak, membesarkan, membesarkan",JLPT_1 JLPT,e5/Z)LI]cr
強いて,しいて,"to dare, to insist","berani, bersikeras",JLPT_1 JLPT,Bomwd0N#[6
シート,シート,seat; sheet,kursi;,JLPT_1 JLPT,u]dm-2Z@p[
ジーパン,ジーパン,jeans,jeans,JLPT_1 JLPT,HXr(ew@{F#
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure","untuk menyimpan persediaan, untuk mengisi kembali persediaan, untuk mengadakan",JLPT_1 JLPT,IFIIG{$W)<
強いる,しいる,"to force, to compel, to coerce","memaksa, memaksa, memaksa",JLPT_1 JLPT,mim3NgV!o^
潮,しお,tide,gelombang pasang,JLPT_1 JLPT,bk[V+Gm9:@
歯科,しか,dentistry,kedokteran gigi,JLPT_1 JLPT,OAZ`Wrx_o9
自我,じが,"self, ego","diri sendiri, ego",JLPT_1 JLPT,b-m;dw=d{Y
自覚,じかく,self-conscious,sadar diri,JLPT_1 JLPT,i/]v!LT[`[
仕掛,しかけ,"device, trick, mechanism","perangkat, trik, mekanisme",JLPT_1 JLPT,Jsems8J4`^
仕掛ける,しかける,"to lay, to set, to wage","untuk meletakkan, untuk mengatur, untuk menggaji",JLPT_1 JLPT,Ac40<_hm$3
しかしながら,しかしながら,"however, nevertheless","namun, bagaimanapun juga",JLPT_1 JLPT,Hq^C6[L3R8
色彩,しきさい,color,warna,JLPT_1 JLPT,G$Z8Bsx{4U
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)","aula upacara, tempat upacara (misalnya pernikahan)",JLPT_1 JLPT,rHP.1FI!Xg
しきたり,しきたり,"custom, conventional practice, tradition","kebiasaan, praktik konvensional, tradisi",JLPT_1 JLPT,sw_]y<P?Kn
事業,じぎょう,"project, enterprise, business","proyek, perusahaan, bisnis",JLPT_1 JLPT,A#sQ/bEEtj
軽蔑,けいべつ,"scorn, disdain","mencemooh, meremehkan",JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,"personal history, career","sejarah pribadi, karier",JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,"course, route, channel","kursus, rute, saluran",JLPT_1 JLPT,AQ(D;C-S!0
