expression,reading,meaning,meaning_indonesia,tags,guid
床屋,とこや,barber's (shop),tukang cukur (toko),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),sepeda motor (lit: auto-bi(ke)),JLPT JLPT_N4,Pt[L]fX^FJ
運動,うんどうする,exercise,latihan,JLPT JLPT_N4,=pK+M[-/J
止む,やむ,"to cease, to stop","untuk berhenti, untuk berhenti",JLPT JLPT_N4,i[hf?*~a)V
もし,もし,if,jika,JLPT JLPT_N4,oLI2n{GVOs
表,おもて,surface; front; outside,permukaan;,JLPT JLPT_N4,qP[jTS0$-o
大学生,だいがくせい,"college student, university student","mahasiswa, mahasiswa",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n
運転手,うんてんしゅ,driver (by occupation),pengemudi (menurut pekerjaan),Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{
予習,よしゅう,preparation of lessons (for class),persiapan pelajaran (untuk kelas),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R
心配,しんぱいする,"worry, concern","khawatir, kekhawatiran",JLPT JLPT_N4,reB^;ntMm;
別,べつ,"distinction, different","perbedaan, berbeda",JLPT JLPT_N4,pvVM*k}K*D
非常に,ひじょうに,extremely; very,sangat;,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,rumah (orang lain);,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b"
柔らかい,やわらかい,"soft (in reference to texture), tender","lembut (mengacu pada tekstur), empuk",JLPT JLPT_N4,Mb;<89jf/c
拾う,ひろう,"to pick up (something), to find","untuk mengambil (sesuatu), untuk menemukan",Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg
～ございます,～ございます,"to be (polite), to exist","menjadi (sopan), ada",JLPT JLPT_N4,kMO?quX[B$
気,き,"spirit, mood","semangat, suasana hati",JLPT JLPT_N4,N`FU2bb#2c
比べる,くらべる,to compare,untuk membandingkan,JLPT JLPT_N4,OXHWkwV:?8
ほとんど,ほとんど,"mostly, almost","kebanyakan, hampir",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,nQ>_aG@b-U
つもり,つもり,"intention, plan","niat, rencana",JLPT JLPT_N4,fOH84**JB]
郊外,こうがい,"suburb, outskirts","pinggiran kota, pinggiran kota",JLPT JLPT_N4,m[#TphS~Yp
だめ,だめ,"useless, no good, hopeless","tidak ada gunanya, tidak ada gunanya, tidak ada harapan",JLPT JLPT_N4,F`}=@;2gGr
売り場,うりば,place where things are sold,tempat di mana barang-barang dijual,JLPT JLPT_N4,g8Zs2)0MYs
正月,しょうがつ,"New Year, New Year's Day","Tahun Baru, Hari Tahun Baru",JLPT JLPT_N4,z?cV&4IRT$
規則,きそく,"rule, regulation","aturan, regulasi",JLPT JLPT_N4,"fX,<9qoCbI"
うん,うん,"yes (informal), all right (ok)","ya (informal), baiklah (ok)",Genki Genki_Ln.8 JLPT JLPT_N4,AU=4aGU<;g
発音,はつおん,pronunciation,pengucapan,JLPT JLPT_N4,ij2OK3T1KH
焼く,やく,"to bake, to grill","untuk memanggang, untuk memanggang",Genki Genki_Ln.21 JLPT JLPT_N4,ze5y7QDk;*
屋上,おくじょう,rooftop,atap,JLPT JLPT_N4,dNyWHH2le2
失礼,しつれい,"discourtesy, impoliteness; Excuse me","tidak sopan, tidak sopan;",JLPT JLPT_N4,i}rJ2aUEQY
ごみ,ごみ,"trash, garbage","sampah, sampah",Genki Genki_Ln.16 JLPT JLPT_N4,l0zGWz;u*B
アフリカ,アフリカ,Africa,Afrika,JLPT JLPT_N4,s(eSC66i0(
点,てん,"mark, score, grade; point, dot","nilai, nilai, nilai;",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,xl]z9.M3ii
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort","sangat keras (seperti dalam ""bekerja keras""), dengan usaha sekuat tenaga",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,x}#WG:x<B%
今度,こんど,"now, this time, near future, one of these days, next time","sekarang, saat ini, dalam waktu dekat, suatu hari nanti, lain kali",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH"
機会,きかい,"chance, opportunity","peluang, peluang",JLPT JLPT_N4,QN(r}6a#1P
建てる,たてる,to build,untuk membangun,JLPT JLPT_N4,p>?r}3Zl{s
複雑,ふくざつ,"complexity, complication","kompleksitas, komplikasi",JLPT JLPT_N4,CH}=lqHM1.
彼,かれ,"he, boyfriend","dia, pacar",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --","-- ekspresi kehormatan untuk いく, くる, dan いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^
布団,ふとん,futon,kasur,JLPT JLPT_N4,o9cl6;pq_D
大事,だいじ,"important, valuable, serious matter","hal yang penting, berharga, dan serius",JLPT JLPT_N4,K-;(kx?ed|
贈り物,おくりもの,a gift; a present,hadiah;,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^
泥棒,どろぼう,thief; burglar,maling;,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP
～製,～せい,made in ~,dibuat di ~,JLPT JLPT_N4,I|]_Gf;YLD
注意,ちゅうい,"caution, attention","hati-hati, perhatian",JLPT JLPT_N4,tSqn:MggQx
台風,たいふう,typhoon,topan,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T
日,ひ,"sun, sunshine, day","matahari, sinar matahari, siang hari",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B
～軒,～けん,counter for houses,counter untuk rumah,JLPT JLPT_N4,"KbFf,NH{5y"
そう,そう,"really, (is that) so; yes, right","sungguh, (apakah) demikian;",JLPT JLPT_N4,wr0#d-auwR
通る,とおる,"to pass (by), to go through","untuk melewati (melalui), untuk melewati",JLPT JLPT_N4,z?tZP}u#Ea
過ぎる,すぎる,"to exceed, to go beyond","melampaui, melampaui",JLPT JLPT_N4,O_}jg<!z1-
レポート; リポート,レポート; リポート,report,laporan,JLPT JLPT_N4,xai}>:G-4a
葉,は,leaf,daun,JLPT JLPT_N4,xQbxW<V1k4
必要,ひつよう,necessary,diperlukan,JLPT JLPT_N4,ty_M]/QA_N
課長,かちょう,section manager,manajer bagian,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;
地震,じしん,earthquake,gempa bumi,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd
すると,すると,"and, then",kemudian,JLPT JLPT_N4,Fz>2(<Q3D%
止める,やめる,"to end, to stop","untuk mengakhiri, berhenti",JLPT JLPT_N4,w08D;C[*x`
ガラス,ガラス,"glass, pane","kaca, panel",JLPT JLPT_N4,Wl!XdU*F<
～学部,～がくぶ,department of a university,departemen sebuah universitas,JLPT JLPT_N4,qq2at6CGnZ
厳しい,きびしい,hard; rigorous; strict,keras;,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w
エスカレーター,エスカレーター,escalator,eskalator,JLPT JLPT_N4,y6e9BNnN(6
人口,じんこう,population,populasi,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U
月,つき,moon,bulan,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l
絹,きぬ,silk,sutra,JLPT JLPT_N4,tNV0})jEsh
ちっとも,ちっとも,not at all (neg. verb),tidak sama sekali (neg. kata kerja),JLPT JLPT_N4,p(lsw|$R1V
深い,ふかい,"deep, profound","mendalam, mendalam",JLPT JLPT_N4,N%G$/Va72i
壊れる,こわれる,"to be broken, to break","untuk dipatahkan, untuk dipatahkan",JLPT JLPT_N4,PH#eB=.[|i
揺れる,ゆれる,"to shake, to sway","untuk bergoyang, untuk bergoyang",JLPT JLPT_N4,CJT@S-rGcq
落る,おちる,"to fall, to drop","jatuh, terjatuh",JLPT JLPT_N4,QEWE{hX5.8
できるだけ,できるだけ,"if at all possible, as much as possible","jika memungkinkan, semaksimal mungkin",JLPT JLPT_N4,z|27hHgqS.
悲しい,かなしい,"sad, sorrowful","sedih, sedih",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z
中学校,ちゅうがっこう,junior high school pupil,murid sekolah menengah pertama,JLPT JLPT_N4,o@F6a}&sDT
ガス,ガス,gas,gas,JLPT JLPT_N4,J0vS6#XFQP
祈る,いのる,to pray; to wish,untuk berdoa;,JLPT JLPT_N4,gOVf)x5I|I
盛ん,さかん,"prosperous, active, thriving","sejahtera, aktif, berkembang",JLPT JLPT_N4,iN0&Vv}z1G
アルバイト,アルバイト,part-time job,pekerjaan paruh waktu,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK
起こす,おこす,to wake (someone) up,untuk membangunkan (seseorang).,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0
致す,いたす,-- extra-modest expression for する --,-- ekspresi ekstra-sederhana untuk する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR
噛む,かむ,"to bite, to chew","menggigit, mengunyah",JLPT JLPT_N4,E0N_YXN>-x
赤ちゃん,あかちゃん,"baby, infant","sayang, sayang",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D
浅い,あさい,"shallow, superficial","dangkal, dangkal",JLPT JLPT_N4,Bq97rav-&k
嘘,うそ,lie,berbohong,JLPT JLPT_N4,dDVZZUX$0%
小説,しょうせつ,novel,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1
親,おや,a parent,orang tua,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw
それに,それに,moreover; besides,lebih-lebih lagi;,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L
西洋,せいよう,"the West, Western countries","Barat, negara-negara Barat",JLPT JLPT_N4,CYHizo6/]:
思う,おもう,"to think, to feel","untuk berpikir, merasakan",Genki Genki_Ln.8 JLPT JLPT_N4,bu>M]5SnGX
パート (タイム),パート (タイム),part time (esp. female part time employees),paruh waktu (khususnya karyawan paruh waktu perempuan),JLPT JLPT_N4,v_m4?zP2.9
時代,じだい,"age, period, epoch, era","usia, periode, zaman, era",JLPT JLPT_N4,L?Q&>175XG
申し上げる,もうしあげる,"(humble)to say, to tell","(rendah hati) untuk mengatakan, untuk memberitahu",JLPT JLPT_N4,GF+@f2CV$T
～式,～しき,~ ceremony; ~ style,~ upacara;,JLPT JLPT_N4,"r&5Ybsff,l"
出席,しゅっせきする,attendance,kehadiran,JLPT JLPT_N4,veUCYD:#[?
～家,～か,person who is specialized in ~,orang yang berspesialisasi dalam ~,JLPT JLPT_N4,jmL@^X(3xD
迎える,むかえる,to welcome; to meet; to greet,untuk menyambut;,JLPT JLPT_N4,c)r?fC@d`X
触る,さわる,"to touch, to feel","untuk menyentuh, merasakan",JLPT JLPT_N4,EE}]!?vk-o
建て,～だて,"~ storied, separate housing",~ Perumahan bertingkat dan terpisah,JLPT JLPT_N4,O;BgWj4xcP
社長,しゃちょう,president of a company,presiden sebuah perusahaan,Genki Genki_Ln.11 JLPT JLPT_N4,esu`;_q%~}
動物園,どうぶつえん,zoo,kebun binatang,JLPT JLPT_N4,LA>0An]TpD
捕まえる,つかまえる,"to catch, to arrest","menangkap, menangkap",JLPT JLPT_N4,"dxA,$K8Jjo"
季節,きせつ,season (in reference to weather),musim (mengacu pada cuaca),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,"H-HO2,.Mf&"
寄る,よる,to stop by,untuk mampir,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,wowQrA=!@I
決まる,きまる,to be set; fixed (v.i.),untuk ditetapkan;,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,ftU/w6Rm9)
開く,ひらく,to open; to hold (an event),untuk membuka;,JLPT JLPT_N4,EqW3}ML(%4
逃げる,にげる,"to escape, to run away","untuk melarikan diri, untuk melarikan diri",JLPT JLPT_N4,olt^H[(k%k
だから,だから,so; therefore,Jadi;,Genki Genki_Ln.4 JLPT JLPT_N4,"l,%/>C{Y}S"
残念,ざんねん,regret; regrettable,menyesali;,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,u8P;}KnN>M
畳,たたみ,tatami mat (Japanese straw mat),tikar tatami (tikar jerami Jepang),JLPT JLPT_N4,K6&+!%&]%g
丁寧,ていねい,"polite, courteous, careful","sopan, sopan, hati-hati",JLPT JLPT_N4,y#[3yo1.4|
地理,ちり,geography,geografi,JLPT JLPT_N4,L>P&NZL8Ln
さっき,さっき,a little while ago,beberapa waktu yang lalu,Genki Genki_Ln.4 JLPT JLPT_N4,K6.[:IAM|.
怖い,こわい,"scary, frightening","menakutkan, menakutkan",Genki Genki_Ln.5 JLPT JLPT_N4,oO+f.U&hT(
包む,つつむ,"to wrap, to cover","untuk membungkus, untuk menutupi",Genki Genki_Ln.21 JLPT JLPT_N4,j.kjH)CP:g
なるべく,なるべく,"if possible, as much as possible","jika memungkinkan, semaksimal mungkin",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,N|K[$y_r^[
無理,むり,"unreasonable, impossible","tidak masuk akal, tidak mungkin",JLPT JLPT_N4,i]oOmAHlg9
サンドイッチ,サンドイッチ,sandwich,sandwich,JLPT JLPT_N4,"Lah$0,$FHs"
会議室,かいぎしつ,conference room,ruang konferensi,JLPT JLPT_N4,oxHUFdCY;/
品物,しなもの,goods,barang-barang,JLPT JLPT_N4,kiGyZq*rIU
人形,にんぎょう,"doll, figure","boneka, gambar",JLPT JLPT_N4,vPlJ&v75[Q
利用,りよう,"use, utilization","penggunaan, pemanfaatan",JLPT JLPT_N4,Rh@8N~e0eQ
飾る,かざる,"to decorate, to adorn","untuk menghias, untuk menghiasi",JLPT JLPT_N4,"OaqvYHn98,"
止める,とめる,to stop (something),untuk menghentikan (sesuatu),JLPT JLPT_N4,uL2<QDM;W:
恥ずかしい,はずかしい,"ashamed, embarrassed","malu, malu",Genki Genki_Ln.18 JLPT JLPT_N4,e$Mth*I+Cg
いくら～ても,いくら～ても,however much one may ~,seberapapun banyaknya ~,JLPT JLPT_N4,I]og(vfh}t
用事,ようじ,business to take care of; tasks; errands,urusan yang harus diurus;,Genki Genki_Ln.12 JLPT JLPT_N4,p$RznpfpCY
ビル,ビル,(abbr.) building,(singkatan) bangunan,JLPT JLPT_N4,H[!Yph0[mz
けんかする,けんかする,quarrel,pertengkaran,JLPT JLPT_N4,Oc14`ELpiF
頑張る,がんばる,"to try one's best, to try hard, to persist","untuk mencoba yang terbaik, untuk berusaha keras, untuk bertahan",Genki Genki_Ln.13 JLPT JLPT_N4,Mz@9d9PizL
投げる,なげる,"to pitch, to cast away","untuk melempar, membuang",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"A%8%S+mN,O"
故障,こしょうする,breakdown,perincian,JLPT JLPT_N4,mP~NCidGL7
力,ちから,"strength, power","kekuatan, kekuatan",JLPT JLPT_N4,t<Fy!4ZXqc
受ける,うける,"to take (an examination, interview, etc.); to receive","untuk mengikuti (ujian, wawancara, dll);",JLPT JLPT_N4,d#N;{6r~iD
気分,きぶん,"feeling, mood","perasaan, suasana hati",JLPT JLPT_N4,GJl$1:;vCi
間違える,まちがえる,to make a mistake,untuk membuat kesalahan,Genki Genki_Ln.21 JLPT JLPT_N4,Q5b~VM7IRc
そんな,そんな,"such, like that, that sort of","seperti itu, seperti itu, semacam itu",JLPT JLPT_N4,ei/O3MuiLE
星,ほし,star,bintang,JLPT JLPT_N4,h=LT];WutA
場合,ばあい,"case, situation","kasus, situasi",JLPT JLPT_N4,qV-2<HJ$$5
やっと,やっと,"at last, finally","akhirnya, akhirnya",JLPT JLPT_N4,Qf-Nk|9F8D
足りる,たりる,to be sufficient; to be enough,menjadi cukup;,Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,tSHDO2cb1M
行う,おこなう,to carry out; to conduct (typically used in written language),untuk melaksanakan;,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,kSwpIk>RTo
ぶどう,ぶどう,grapes,anggur,JLPT JLPT_N4,qtf+q-Z+n]
無くなる,なくなる,"to disappear, to get lost","menghilang, tersesat",JLPT JLPT_N4,QEFsGzu!|/
準備,じゅんびする,prepare,mempersiapkan,JLPT JLPT_N4,h&P$N~U6-[
世界,せかい,world,dunia,Genki Genki_Ln.10 JLPT JLPT_N4,e<Tae_jQo4
住所,じゅうしょ,address; place of residence,alamat;,JLPT JLPT_N4,fPoS$h^c(u
再来月,さらいげつ,the month after next,bulan berikutnya,JLPT JLPT_N4,Zux^JW=t?
林,はやし,"woods, forest","hutan, hutan",JLPT JLPT_N4,@LWUXw-^>
倍,ばい,double,dobel,JLPT JLPT_N4,k.0mCWDs+|
痩せる,やせる,to lose weight,untuk menurunkan berat badan,Genki Genki_Ln.7 JLPT JLPT_N4,A[Q-]LV0S:
線,せん,"line, wire","garis, kawat",JLPT JLPT_N4,dK0yR1DBK`
戦争,せんそう,war,perang,JLPT JLPT_N4,l@;Cq/&#91
決める,きめる,to decide (v.t.),untuk memutuskan (v.t.),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,p(qb/m`R:b
調べる,しらべる,to check; to look up; to inquire; to search,untuk memeriksa;,JLPT JLPT_N4,Ov6y=mBwgM
寝坊,ねぼう,sleeping in late,tidur larut malam,JLPT JLPT_N4,B(>pXN{@@q
パパ,パパ,"papa, daddy","ayah, ayah",JLPT JLPT_N4,v.-(XP=XJY
光る,ひかる,"to shine, to glitter","bersinar, berkilauan",JLPT JLPT_N4,xp|/7BLK40
夫,おっと,husband,suami,JLPT JLPT_N4,zDF$wWIUs8
雲,くも,cloud,awan,JLPT JLPT_N4,"C3Z1{X<H,4"
坂,さか,"slope, hill","lereng, bukit",JLPT JLPT_N4,fMGrCf7XcB
～(て) しまう,～(て) しまう,to end up ~,untuk berakhir ~,JLPT JLPT_N4,us+Z5ns><g
飛行場,ひこうじょう,airport,bandara,JLPT JLPT_N4,A2O=3b{hXI
柔道,じゅうどう,judo,judo,JLPT JLPT_N4,d[2qz9jnc7
決して,けっして,never,tidak pernah,JLPT JLPT_N4,Kd9N)Izj!4
事務所,じむしょ,office,kantor,JLPT JLPT_N4,wxgf%k:fc2
連絡,れんらく,"communication, contact, connection","komunikasi, kontak, koneksi",JLPT JLPT_N4,"v[($g<|S,F"
小学校,しょうがっこう,elementary school,sekolah dasar,Genki Genki_Ln.23 JLPT JLPT_N4,f^*MMB(l>o
客,きゃく,"guest, customer","tamu, pelanggan",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,xF)V^}awc{
昔,むかし,old days; past,masa lalu;,Genki Genki_Ln.21 JLPT JLPT_N4,hUjfJU~9){
美しい,うつくしい,"beautiful, lovely","indah, indah",JLPT JLPT_N4,OB^[>@2T05
捨てる,すてる,"throw away (trash), dump, discard","membuang (sampah), membuang, membuang",Genki Genki_Ln.15 JLPT JLPT_N4,G;1IJzl`jC
なさる,なさる,-- honorific expression for する --,-- ekspresi kehormatan untuk する --,Genki Genki_Ln.19 JLPT JLPT_N4,zj*av$=2pO
事,こと,"thing(s), matter(s), fact","benda, benda, fakta",Genki Genki_Ln.21 JLPT JLPT_N4,ca&G<Ve~Nx
どんどん,どんどん,quickly and steadily; at a rapid pace,dengan cepat dan mantap;,JLPT JLPT_N4,q0h/etzyxE
試合,しあい,"match, game, competition","pertandingan, permainan, kompetisi",Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Hv/PI<4cqa
適当,てきとう,"fitness, suitability","kebugaran, kesesuaian",JLPT JLPT_N4,HX3el]3jvP
素晴らしい,すばらしい,wonderful; terrific,luar biasa;,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Mq|7Xt}rKi
美術館,びじゅつかん,"art gallery, art museum","galeri seni, museum seni",Genki Genki_Ln.11 JLPT JLPT_N4,Lovq=LkX$G
文法,ぶんぽう,grammar,tata bahasa,Genki Genki_Ln.13 JLPT JLPT_N4,"h2m8,%coR8"
終わり,おわり,end,akhir,JLPT JLPT_N4,j1fvX?gG0M
壁,かべ,wall,dinding,JLPT JLPT_N4,um!T&Q*O[?
一度,いちど,"once, one time","sekali, satu kali",JLPT JLPT_N4,z3&2cN)6^e
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,ungkapan terima kasih;,Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,IzFCHK5nu1
親切,しんせつ,kindness,kebaikan,JLPT JLPT_N4,lZWRz?K3ET
知らせる,しらせる,to notify,untuk memberi tahu,JLPT JLPT_N4,mORr*vy|g/
歯医者,はいしゃ,dentist,dokter gigi,JLPT JLPT_N4,"<G@n,w<8p"
熱心,ねっしん,enthusiasm,antusiasme,JLPT JLPT_N4,bLrU`I|/*{
始める,はじめる,"to start, to begin","untuk memulai, untuk memulai",Genki Genki_Ln.8 JLPT JLPT_N4,"g,>$G?*/Q&"
もらう,もらう,to receive,untuk menerima,JLPT JLPT_N4,MhXS3i[O39
泣く,なく,to cry,menangis,Genki Genki_Ln.13 JLPT JLPT_N4,wS:0`lVju$
治る,なおる,to get better; to recover from illness (v.i.),untuk menjadi lebih baik;,JLPT JLPT_N4,J-V8gKft=&
熱,ねつ,"fever, temperature","demam, suhu",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,D9dKTYQi:O
お祭り,おまつり,festival,festival,JLPT JLPT_N4,n=i-:`LzjX
水道,すいどう,"water service, water line","layanan air, saluran air",JLPT JLPT_N4,FV`Tc-%-nK
匂い,におい,"odor, smell","bau, bau",JLPT JLPT_N4,P&q^w6d0fO
ベル,ベル,bell,bel,JLPT JLPT_N4,D!1f]e)iSX
赤ん坊,あかんぼう,baby,Sayang,JLPT JLPT_N4,I>S)eTr_]B
おかしい,おかしい,strange; odd; funny,aneh;,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,O9;m#]XEB2
事故,じこ,accident,kecelakaan,JLPT JLPT_N4,K(yw!r=B:1
変,へん,"strange, odd","aneh, aneh",JLPT JLPT_N4,e/SMd06F!x
辞典,じてん,"encyclopedia, reference book","ensiklopedia, buku referensi",JLPT JLPT_N4,brNC9/_sI`
残る,のこる,"to remain (v.i.), to be left","untuk tetap (v.i.), ke kiri",JLPT JLPT_N4,INR^BBo=#J
立てる,たてる,"to stand (something) up, to erect (something)","untuk berdiri (sesuatu), untuk mendirikan (sesuatu)",JLPT JLPT_N4,O9fk.~k_.E
くれる,くれる,"to give, to do for","memberi, melakukan untuk",JLPT JLPT_N4,hSC5|:)aVz
～員,～いん,member of ~,anggota ~,JLPT JLPT_N4,QHO%z16SSs
原因,げんいん,"cause, origin, source","sebab, asal usul, sumber",JLPT JLPT_N4,y8<@Y+?o6j
驚く,おどろく,"to be surprised, to be astonished","menjadi terkejut, menjadi heran",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,qBeaklesW+
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,-- ekspresi ekstra-sederhana untuk たべる dan のむ;,Genki Genki_Ln.20 JLPT JLPT_N4,J*KGnzk|Z2
祖母,そぼ,grandmother,nenek,JLPT JLPT_N4,x!LCLRW]y2
場所,ばしょ,"place, location","tempat, lokasi",Genki Genki_Ln.23 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,qw3.O}/lOC
答,こたえ,"answer, response","jawaban, tanggapan",JLPT JLPT_N4,xmTYLgV-T_
もちろん,もちろん,"certainly, of course","tentu saja, tentu saja",Genki Genki_Ln.7 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,"m8,NutV2dG"
漬ける,つける,"to soak, to moisten, to pickle","merendam, melembabkan, mengasinkan",JLPT JLPT_N4,h!i?H{d*F@
受付,うけつけ,reception(ist) desk,meja resepsionis (ist).,Genki Genki_Ln.22 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,"uraaf1,;7Q"
内,うち,"within, inside","di dalam, di dalam",JLPT JLPT_N4,G1H0$T!7Vl
スクリーン,スクリーン,screen,layar,JLPT JLPT_N4,"L/njBN,iH6"
増える,ふえる,"to increase, to multiply","bertambah, bertambah banyak",JLPT JLPT_N4,QW.w#0qn}8
